rk,player,age,team,pos,g,gs,mp,fg,fga,fg_percent,3p,3pa,3p_percent,2p,2pa,2p_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,awards,year,player_id
221.0,Omari Spellman,22.0,GSW,C,49.0,3.0,886.0,5.2,12.0,0.431,1.7,4.5,0.391,3.4,7.5,0.454,0.503,3.0,3.7,0.793,3.1,5.8,8.9,1.9,1.3,1.0,2.2,2.6,15.0,,2020,spellom01
222.0,Nemanja Bjelica,31.0,SAC,PF,72.0,67.0,2011.0,5.6,11.7,0.481,2.4,5.7,0.419,3.2,6.0,0.541,0.583,1.2,1.5,0.821,2.0,6.2,8.2,3.6,1.1,0.7,1.8,3.9,14.9,,2020,bjeline01
223.0,Chandler Hutchison,23.0,CHI,SF,28.0,10.0,527.0,5.5,12.0,0.457,0.8,2.6,0.316,4.6,9.4,0.496,0.491,3.1,5.3,0.59,1.2,6.1,7.4,1.8,1.8,0.5,1.8,3.2,14.9,,2020,hutchch01
224.0,Mason Plumlee,29.0,DEN,C,61.0,1.0,1057.0,6.0,9.8,0.615,0.0,0.2,0.0,6.0,9.6,0.625,0.615,2.8,5.3,0.535,3.3,7.5,10.8,5.2,1.1,1.3,2.8,4.9,14.9,,2020,plumlma01
225.0,Ish Smith,31.0,WAS,PG,68.0,23.0,1787.0,6.2,13.9,0.447,1.2,3.4,0.367,5.0,10.5,0.473,0.492,1.2,1.7,0.721,0.6,3.8,4.4,6.7,1.2,0.6,1.9,2.1,14.9,,2020,smithis01
226.0,Thaddeus Young,31.0,CHI,PF,64.0,16.0,1591.0,6.1,13.6,0.448,1.8,5.0,0.356,4.3,8.6,0.501,0.513,1.0,1.6,0.583,2.1,5.0,7.1,2.6,2.1,0.5,2.3,3.0,14.9,,2020,youngth01
227.0,Yogi Ferrell,26.0,SAC,PG,50.0,0.0,530.0,5.4,12.8,0.42,1.6,5.4,0.304,3.7,7.4,0.505,0.484,2.4,2.9,0.857,0.4,2.9,3.3,4.7,1.2,0.3,1.9,2.6,14.8,,2020,ferreyo01
228.0,Jonathan Isaac,22.0,ORL,PF,34.0,32.0,980.0,5.7,12.2,0.47,1.2,3.5,0.34,4.6,8.7,0.521,0.518,2.2,2.8,0.779,2.1,6.4,8.5,1.8,1.9,2.9,1.8,3.0,14.8,,2020,isaacjo01
229.0,Raul Neto,27.0,PHI,PG,54.0,3.0,668.0,5.4,12.0,0.455,1.8,4.7,0.386,3.6,7.2,0.5,0.532,2.1,2.5,0.83,0.6,2.7,3.3,5.1,1.3,0.3,2.5,2.7,14.8,,2020,netora01
230.0,Myles Turner,23.0,IND,C,62.0,62.0,1826.0,5.3,11.6,0.457,1.7,4.9,0.344,3.6,6.6,0.54,0.53,2.5,3.3,0.751,1.7,6.3,8.0,1.4,0.9,2.6,1.7,3.3,14.8,,2020,turnemy01
231.0,Robert Covington,29.0,2TM,C,70.0,68.0,2137.0,5.1,12.2,0.422,2.7,8.1,0.335,2.4,4.1,0.593,0.533,1.7,2.1,0.798,1.1,6.7,7.8,1.5,1.9,1.6,1.7,3.7,14.7,,2020,covinro01
231.0,Robert Covington,29.0,MIN,PF,48.0,47.0,1411.0,5.5,12.7,0.435,2.8,8.0,0.346,2.8,4.7,0.587,0.544,1.9,2.4,0.798,0.9,6.4,7.3,1.4,2.0,1.1,1.9,3.8,15.7,,2020,covinro01
